id,nombre,genero,desarrolladores,publicadores,fecha_lanzamiento
63,Alien Cruise,Adventure,Cotton Game,Orenda,"March 14, 2019"
64,Alien Escape,Puzzle,Korion,Korion,"July 12, 2019"
65,Alien: Isolation,Survival horror,Creative Assembly,Sega,"December 5, 2019"
66,All-Star Fruit Racing,Kart racing,3D Clouds,"JP: Circle Entertainment, WW: PQube","August 21, 2018"
67,The Alliance Alive HD Remastered,Role-playing,Cattle Call,"JP: FuRyu, WW: NIS America","October 8, 2019"
68,Almost There: The Platformer,"Action-adventure, platformer",The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,"February 21, 2019"
69,Alpha,Action,Kaname,Kaname,"April 18, 2019"
70,Alteric,Platformer,Goonswarm,Sometimes You,"March 30, 2018"
71,Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,Adventure,,Arc System Works,"May 23, 2019"
72,Alwa’s Awakening,Platformer,Elden Pixels,Elden Pixels,"September 27, 2018"
73,Amazing Brick Breaker,Arcade,Cyberfront Korea,CFK,"November 28, 2019"
74,Ambition of the Slimes,"Turn-based strategy, role-playing",Altairworks,Flyhigh Works,"January 18, 2018"
75,American Fugitive,Action role-playing,Fallen Tree Games,Curve Digital,"May 23, 2019"
76,American Ninja Warrior Challenge,Action,GameMill Entertainment,GameMill Entertainment,"March 19, 2019"
77,Among the Sleep: Enhanced Edition,"Survival horror, action-adventure",Krillbite Studio,Soedesco,"May 29, 2019"
78,Anarcute,"Action, strategy",Anarteam,"JP: Digital Bards, WW: Plug In Digital","May 30, 2019"
79,Ancient Rush 2,Role-playing,Heideland GameWork,Heideland GameWork,"February 1, 2019"
80,Angels of Death,Adventure,Hoshikuzu KRNKRN,Playism,"June 28, 2018"
81,Angry Bunnies: Colossal Carrot Crusade,Third-person shooter,YFC Games,YFC Games,"September 19, 2019"
82,Animal Crossing: New Horizons,Simulation,Nintendo EPD,Nintendo,"March 20, 2020"
83,Animal Fight Club,Strategy,Marco Amadei,Corvostudio di Amadei Marco,"July 26, 2019"
84,Animal Rivals,"Action, platformer",Blue Sunset Games,Blue Sunset Games,"July 18, 2018"
85,Animated Jigsaws: Beautiful Japanese Scenery,Puzzle,Dico,Rainy Frog,"April 5, 2018"
86,Animated Jigsaws: Japanese Women,Puzzle,Dico,Rainy Frog,"October 4, 2018"
87,Animus: Stand Alone,Action role-playing,Tenbirds,Bandai Namco,"January 3, 2019"
88,Anonymous;Code,Visual novel,5pb.,5pb.,Unreleased
89,Another Eden,Role-playing,Wright Flyer Studios,Wright Flyer Studios,Unreleased
90,Another Lost Phone: Laura's Story,Puzzle,"Accidental Queens, Seaven Studio",Plug In Digital,"April 26, 2018"
91,Another Sight,Adventure,Lunar Great Wall Studios,Lunar Great Wall Studios,"June 28, 2019"
92,Another World,Platformer,Dotemu,Dotemu,"July 9, 2018"
93,Antiquia Lost,Role-playing,,Kemco,"November 16, 2017"
94,Aokana: Four Rhythm Across the Blue,Visual novel,Sprite,Sprite,TBA
95,Ape Out,Action,Gabe Cuzzillo,Devolver Digital,"February 28, 2019"
96,Aperion Cyberstorm,Twin-stick shooter,,aPriori Digital,"February 8, 2018"
97,Apocryph: An Old-School Shooter,Shooter,Bigzur Games,Bigzur Games,"March 14, 2019"
98,Aqua Kitty UDX,Shoot 'em up,Tikipod,Tikipod,"February 15, 2018"
99,Aqua Moto Racing Utopia,Racing,Zordix,Bigben Interactive,"April 27, 2018"
100,Aragami: Shadow Edition,Action-adventure,Lince Works,Merge Games,"February 21, 2019"
46,Adventures of Bertram Fiddle Episode 1: A Dreadly Business,Adventure,Rumpus Animation,Chorus Worldwide,"March 29, 2018"
96,Aperion Cyberstorm,Twin-stick shooter,,aPriori Digital,"February 8, 2018"
66,All-Star Fruit Racing,Kart racing,3D Clouds,"JP: Circle Entertainment, WW: PQube","August 21, 2018"
64,Alien Escape,Puzzle,Korion,Korion,"July 12, 2019"
84,Animal Rivals,"Action, platformer",Blue Sunset Games,Blue Sunset Games,"July 18, 2018"
21,60 Parsecs!,Adventure,Robot Gentleman,Robot Gentleman,"December 20, 2019"
9,12 Labors of Hercules'Hercules,Adventure,"Jetdogs, Zoom Out Games",JetDogs,"March 24, 2019"
16,2064: Read Only Memories Integral,Adventure,MidBoss,MidBoss,"August 14, 2018"
92,Another World,Platformer,Dotemu,Dotemu,"July 9, 2018"
45,Adventure Time: Pirates of the Enchiridion,Adventure,Climax Studios,"NA: Outright Games, PAL: Bandai Namco Entertainment","July 17, 2018"
