id,nombre,genero,desarrolladores,publicadores,fecha_lanzamiento
41,Aces of the luftwaffe: squadron,Shoot 'em up,HandyGames,"JP: Worker Bee, WW: HandyGames",2017-11-17
42,Achtung! cthulhu tactics,Tactical role-playing,Desconocido,Ripstone,2019-01-24
43,Acorn tactics,Turn-based strategy,Tacs Games,Tacs Games,2017-12-07
44,The adventure pals,Platformer,Massive Monster,Armor Games,2018-04-03
45,Adventure time: pirates of the enchiridion,Adventure,Climax Studios,"NA: Outright Games, PAL: Bandai Namco Entertainment",2018-07-17
46,Adventures of bertram fiddle episode 1: a dreadly business,Adventure,Rumpus Animation,Chorus Worldwide,2018-03-29
47,Adventures of bertram fiddle episode 2: a bleaker predicklement,Adventure,Rumpus Animation,Chorus Worldwide,2018-11-22
48,Adventures of elena temple,Platformer,GrimTalin,GrimTalin,2019-12-24
49,Aegis defenders,"Tower defense, platformer",Guts Department,Humble Bundle,2018-02-08
50,Aeternoblade,Action-adventure,Corecell Technology,PQube,2018-02-01
51,Aeternoblade ii,Action-adventure,Corecell Technology,PQube,2019-10-11
52,Afterparty,Adventure,Night School Studio,Night School Studio,2019-10-29
53,Ages of mages: the last keeper,Third-person shooter,YFC Games,YFC Games,2019-05-30
54,Agent a: a puzzle in disguise,Puzzle,Yak,Yak,2019-08-29
55,Aggelos,Action role-playing,Storybird Games,PQube,2019-04-24
56,Agony,Survival horror,Madmind Studio,Forever Entertainment,2019-10-31
57,Air conflicts: pacific carriers,Simulation,Games Farm,"JP: H2 Interactive, WW: Kalypso Media",2019-03-26
58,Air conflicts: secret wars,Simulation,Games Farm,"JP: H2 Interactive, WW: Kalypso Media",2019-03-26
59,Air hockey,Arcade,Sabec,Sabec,2018-02-28
60,Air mail,Simulation,Desconocido,N-Fusion Interactive,2018-06-26
61,Ai: the somnium files,Adventure,Spike Chunsoft,Spike Chunsoft,2019-09-17
62,Alchemic dungeons dx,Roguelike,Q-Cumber Factory,Flyhigh Works,2019-02-14
63,Alien cruise,Adventure,Cotton Game,Orenda,2019-03-14
64,Alien escape,Puzzle,Korion,Korion,2019-07-12
65,Alien: isolation,Survival horror,Creative Assembly,Sega,2019-12-05
66,All-star fruit racing,Kart racing,3D Clouds,"JP: Circle Entertainment, WW: PQube",2018-08-21
67,The alliance alive hd remastered,Role-playing,Cattle Call,"JP: FuRyu, WW: NIS America",2019-10-08
68,Almost there: the platformer,"Action-adventure, platformer",The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,2019-02-21
69,Alpha,Action,Kaname,Kaname,2019-04-18
70,Alteric,Platformer,Goonswarm,Sometimes You,2018-03-30
71,Alternate jake hunter: daedalus the awakening of golden jazz,Adventure,Neilo,Arc System Works,2019-05-23
72,Alwa’s awakening,Platformer,Elden Pixels,Elden Pixels,2018-09-27
73,Amazing brick breaker,Arcade,Cyberfront Korea,CFK,2019-11-28
74,Ambition of the slimes,"Turn-based strategy, role-playing",Altairworks,Flyhigh Works,2018-01-18
75,American fugitive,Action role-playing,Fallen Tree Games,Curve Digital,2019-05-23
76,American ninja warrior challenge,Action,GameMill Entertainment,GameMill Entertainment,2019-03-19
77,Among the sleep: enhanced edition,"Survival horror, action-adventure",Krillbite Studio,Soedesco,2019-05-29
78,Anarcute,"Action, strategy",Anarteam,"JP: Digital Bards, WW: Plug In Digital",2019-05-30
79,Ancient rush 2,Role-playing,Heideland GameWork,Heideland GameWork,2019-02-01
80,Angels of death,Adventure,Hoshikuzu KRNKRN,Playism,2018-06-28
81,Angry bunnies: colossal carrot crusade,Third-person shooter,YFC Games,YFC Games,2019-09-19
82,Animal crossing: new horizons,Simulation,Nintendo EPD,Nintendo,2020-03-20
83,Animal fight club,Strategy,Marco Amadei,Corvostudio di Amadei Marco,2019-07-26
84,Animal rivals,"Action, platformer",Blue Sunset Games,Blue Sunset Games,2018-07-18
85,Animated jigsaws: beautiful japanese scenery,Puzzle,Dico,Rainy Frog,2018-04-05
86,Animated jigsaws: japanese women,Puzzle,Dico,Rainy Frog,2018-10-04
87,Animus: stand alone,Action role-playing,Tenbirds,Bandai Namco,2019-01-03
88,Anonymous;code,Visual novel,5pb.,5pb.,2025-04-07
89,Another eden,Role-playing,Wright Flyer Studios,Wright Flyer Studios,2025-04-07
90,Another lost phone: laura's story,Puzzle,Desconocido,Plug In Digital,2018-04-26
91,Another sight,Adventure,Lunar Great Wall Studios,Lunar Great Wall Studios,2019-06-28
92,Another world,Platformer,Desconocido,Dotemu,2018-07-09
93,Antiquia lost,Role-playing,Exe Create,Kemco,2017-11-16
94,Aokana: four rhythm across the blue,Visual novel,Sprite,Sprite,2025-04-07
95,Ape out,Action,Gabe Cuzzillo,Devolver Digital,2019-02-28
96,Aperion cyberstorm,Twin-stick shooter,aPriori Digital,aPriori Digital,2018-02-08
97,Apocryph: an old-school shooter,Shooter,Bigzur Games,Bigzur Games,2019-03-14
98,Aqua kitty udx,Shoot 'em up,Tikipod,Tikipod,2018-02-15
99,Aqua moto racing utopia,Racing,Zordix,Bigben Interactive,2018-04-27
100,Aragami: shadow edition,Action-adventure,Lince Works,Merge Games,2019-02-21
